com.samsung.shealth.sleep_data,6060029,4
start_time,pkg_name,update_time,create_time,time_offset,datauuid,sleep_status,sleep_uuid,comment,json_version,deviceuuid
2017-12-26 05:39:00.000,com.sec.android.app.shealth,2017-12-26 13:15:39.334,2017-12-26 13:15:39.334,UTC-0600,a295b146-de49-c8cb-484b-4ff2eb8ec833,a295b146-de49-c8cb-484b-4ff2eb8ec833.sleep_status.json,2fa55158-d78c-fafc-443a-a2b352eb0802,,1,3CaTqKloqY
2017-12-27 06:37:00.000,com.sec.android.app.shealth,2017-12-27 13:15:44.307,2017-12-27 13:15:44.307,UTC-0600,e6a6fd14-da78-5241-c59a-aab5d33fe246,e6a6fd14-da78-5241-c59a-aab5d33fe246.sleep_status.json,34833e70-6b4b-6fbb-e3c4-b3a0cd57fbad,,1,3CaTqKloqY
2017-12-28 07:26:00.000,com.sec.android.app.shealth,2017-12-28 13:28:58.269,2017-12-28 13:28:58.269,UTC-0600,6ce5f0f9-d51a-29e3-54ca-c7c1f5479dea,6ce5f0f9-d51a-29e3-54ca-c7c1f5479dea.sleep_status.json,87de75d2-8b35-e628-a347-97e7c15207aa,,1,3CaTqKloqY
2017-12-29 05:19:00.000,com.sec.android.app.shealth,2017-12-29 12:20:33.509,2017-12-29 12:20:33.509,UTC-0600,a2a1edac-5219-3d9b-cddd-e5f2d9f60068,a2a1edac-5219-3d9b-cddd-e5f2d9f60068.sleep_status.json,9444943f-d3b1-9a9e-c297-c1d063b9bcf0,,1,3CaTqKloqY
2017-12-29 12:31:00.000,com.sec.android.app.shealth,2017-12-29 14:18:35.312,2017-12-29 14:18:35.312,UTC-0600,95df7c3a-8f98-33dc-ad54-37e6df46509e,95df7c3a-8f98-33dc-ad54-37e6df46509e.sleep_status.json,13dd3307-da7e-96a1-c50a-350407ceb724,,1,3CaTqKloqY
2017-12-30 06:22:00.000,com.sec.android.app.shealth,2017-12-30 07:54:39.313,2017-12-30 07:54:39.313,UTC-0600,3b0c7a3a-75d0-13c0-383d-bbf67fec72ea,3b0c7a3a-75d0-13c0-383d-bbf67fec72ea.sleep_status.json,a8d1a8bb-877c-ce5b-9534-6aa36b1e9586,,1,3CaTqKloqY
2017-12-30 07:46:00.000,com.sec.android.app.shealth,2017-12-30 11:51:52.313,2017-12-30 11:51:52.313,UTC-0600,b3952370-726c-55db-2a39-f2fd88d2e429,b3952370-726c-55db-2a39-f2fd88d2e429.sleep_status.json,3154d2fa-e381-7b65-de0f-6cef544aff89,,1,3CaTqKloqY
2017-12-30 11:48:00.000,com.sec.android.app.shealth,2017-12-30 14:37:08.118,2017-12-30 14:37:08.118,UTC-0600,d417c610-9b7b-8c02-e87a-e1d7f34277da,d417c610-9b7b-8c02-e87a-e1d7f34277da.sleep_status.json,484ab66f-19b9-d030-b397-c9b184bd5e3e,,1,3CaTqKloqY
2017-12-31 07:36:00.000,com.sec.android.app.shealth,2017-12-31 15:27:50.125,2017-12-31 15:27:50.125,UTC-0600,98716a20-2169-196f-211b-6f16c070d259,98716a20-2169-196f-211b-6f16c070d259.sleep_status.json,48e73a2e-6240-ee17-0460-6dc7813bfabd,,1,3CaTqKloqY
2018-01-01 10:23:00.000,com.sec.android.app.shealth,2018-01-01 12:45:37.272,2018-01-01 12:45:37.272,UTC-0600,d42d4943-02ed-4dbe-a1b2-2cefcfeb8647,d42d4943-02ed-4dbe-a1b2-2cefcfeb8647.sleep_status.json,a959663e-08fc-539c-5b00-80c9af69a5cd,,1,3CaTqKloqY
2018-01-01 13:48:00.000,com.sec.android.app.shealth,2018-01-01 15:21:40.279,2018-01-01 15:21:40.279,UTC-0600,910b71f2-3118-88df-b906-85305c5932b8,910b71f2-3118-88df-b906-85305c5932b8.sleep_status.json,0b4df870-3514-1846-ae4c-069418f6b6f5,,1,3CaTqKloqY
2018-01-01 19:53:00.000,com.sec.android.app.shealth,2018-01-01 21:22:20.347,2018-01-01 21:22:20.347,UTC-0600,61095148-88ba-ded1-b330-e075c5a4ccec,61095148-88ba-ded1-b330-e075c5a4ccec.sleep_status.json,8ab03784-6a53-7e25-8b8e-f63207b3aa57,,1,3CaTqKloqY
2018-01-03 05:42:00.000,com.sec.android.app.shealth,2018-01-03 11:05:45.732,2018-01-03 11:05:45.732,UTC-0400,3560871c-a2d7-1c63-6056-4950da4ea02b,3560871c-a2d7-1c63-6056-4950da4ea02b.sleep_status.json,a7cecda5-f6c8-0613-434d-4bd2374e248d,,1,3CaTqKloqY
2018-01-04 05:50:00.000,com.sec.android.app.shealth,2018-01-04 11:16:41.453,2018-01-04 11:16:41.453,UTC-0400,b56b1179-bf5f-eff8-8549-1c56c162f088,b56b1179-bf5f-eff8-8549-1c56c162f088.sleep_status.json,f57fb34e-19b8-739d-f4c0-ae9370d819f4,,1,3CaTqKloqY
2018-01-05 03:41:00.000,com.sec.android.app.shealth,2018-01-05 11:16:29.738,2018-01-05 11:16:29.738,UTC-0400,7d9d458b-9332-0edf-efbc-d6007fbab913,7d9d458b-9332-0edf-efbc-d6007fbab913.sleep_status.json,a699fb26-cf97-b279-2539-4dd3fb162c7e,,1,3CaTqKloqY
